,greV,greQ,greA,cgpa,univName
25443,148.0,170.0,3.0,3.8,COMSATS University Islamabad
25462,157.0,165.0,4.0,3.94,COMSATS University Islamabad
25474,170.0,168.0,6.0,3.85,National University of Computer and Emerging Sciences
25478,168.0,162.0,4.5,3.33,Bahauddin Zakariya University
25491,155.0,170.0,4.5,3.3,"International Islamic University, Islamabad"
25499,162.0,170.0,4.0,3.94,COMSATS University Islamabad
25503,170.0,159.0,4.0,3.95,National University of Modern Languages
25505,170.0,159.0,4.0,3.95,University of the Punjab
25515,167.0,160.0,5.0,4.0,National University of Modern Languages
25519,167.0,160.0,5.0,4.0,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
25521,167.0,160.0,5.0,4.0,Aga Khan University
25544,155.0,167.0,4.0,3.58,"International Islamic University, Islamabad"
25581,158.0,170.0,4.0,3.95,Air University
25601,170.0,168.0,6.0,4.0,COMSATS University Islamabad
25604,158.0,165.0,0.0,3.88,COMSATS University Islamabad
25609,167.0,154.0,4.0,3.67,Bahauddin Zakariya University
25631,149.0,162.0,4.0,3.61,National University of Computer and Emerging Sciences
25636,156.0,166.0,4.0,3.65,National University of Modern Languages
25637,153.0,148.0,4.0,3.64,COMSATS University Islamabad
25643,164.0,165.0,5.0,3.53,National University of Computer and Emerging Sciences
25662,153.0,149.0,4.0,3.96,COMSATS University Islamabad
25676,162.0,144.0,5.5,3.9,National University of Sciences and Technology
25685,155.0,150.0,5.0,3.7,National University of Sciences and Technology
25699,141.0,168.0,3.0,3.87,Bahauddin Zakariya University
25703,161.0,167.0,4.5,3.8,Bahauddin Zakariya University
25704,158.0,159.0,5.0,3.89,Air University
25705,158.0,159.0,5.0,3.89,"University of Engineering and Technology, Lahore"
25707,168.0,169.0,6.0,3.93,National University of Computer and Emerging Sciences
25749,167.0,169.0,0.0,3.9,Bahauddin Zakariya University
25774,153.0,167.0,3.0,3.72,National University of Computer and Emerging Sciences
25776,153.0,147.0,4.0,3.97,COMSATS University Islamabad
25789,148.0,148.0,4.0,3.79,University of Central Punjab
25792,152.0,149.0,4.0,3.54,National University of Modern Languages
25795,161.0,157.0,5.0,3.92,COMSATS University Islamabad
25798,170.0,164.0,5.0,3.8,Air University
25805,154.0,144.0,4.0,3.75,COMSATS University Islamabad
25814,167.0,165.0,4.5,3.79,Air University
25819,157.0,167.0,3.0,3.41,NED University of Engineering and Technology
25820,149.0,149.0,3.5,3.65,University of Central Punjab
25849,164.0,153.0,5.0,4.0,Air University
25871,166.0,167.0,4.5,3.67,Bahauddin Zakariya University
25894,165.0,168.0,5.0,3.8,Bahauddin Zakariya University
25901,163.0,153.0,4.5,3.98,Aga Khan University
25936,160.0,161.0,6.0,3.72,Air University
25947,157.0,147.0,5.5,3.7,National University of Sciences and Technology
25956,157.0,149.0,5.0,4.0,Bahauddin Zakariya University
25991,152.0,152.0,4.0,3.77,University of Central Punjab
26040,157.0,170.0,4.0,3.97,National University of Sciences and Technology
26064,170.0,165.0,6.0,4.0,University of the Punjab
26067,163.0,164.0,4.5,3.9,Aga Khan University
26069,160.0,156.0,4.5,3.04,COMSATS University Islamabad
26072,165.0,164.0,5.0,3.9,Bahauddin Zakariya University
26094,148.0,170.0,0.0,3.81,University of Central Punjab
26100,148.0,170.0,3.0,3.81,Aga Khan University
26101,157.0,158.0,4.0,4.0,Air University
26106,157.0,158.0,4.0,4.0,Aga Khan University
26107,154.0,168.0,3.5,3.68,Aga Khan University
26145,161.0,168.0,4.0,3.66,COMSATS University Islamabad
26209,155.0,169.0,3.5,3.98,COMSATS University Islamabad
26225,166.0,154.0,5.5,3.83,COMSATS University Islamabad
26245,168.0,168.0,5.0,3.88,National University of Computer and Emerging Sciences
26265,150.0,149.0,5.0,3.86,National University of Sciences and Technology
26274,170.0,158.0,3.0,3.8,Quaid-i-Azam University
26293,162.0,141.0,5.5,3.1,NED University of Engineering and Technology
26294,162.0,165.0,5.0,3.73,National University of Modern Languages
26299,157.0,159.0,2.0,3.88,National University of Sciences and Technology
26341,152.0,170.0,3.5,3.58,NED University of Engineering and Technology
26355,169.0,163.0,4.5,3.42,COMSATS University Islamabad
26357,163.0,165.0,6.0,3.68,University of Central Punjab
26368,150.0,152.0,3.5,3.8,Air University
26407,155.0,165.0,0.0,3.96,National University of Computer and Emerging Sciences
26451,157.0,160.0,4.0,3.72,University of Central Punjab
26468,148.0,160.0,3.0,3.85,Aga Khan University
26473,152.0,151.0,0.0,3.2,"International Islamic University, Islamabad"
26493,164.0,166.0,5.0,3.94,Institute of Business Administration
26557,156.0,166.0,4.0,3.65,"University of Engineering and Technology, Lahore"
26562,160.0,169.0,4.0,3.75,Aga Khan University
26575,152.0,156.0,5.0,3.71,University of Central Punjab
26577,152.0,156.0,5.0,3.71,Bahauddin Zakariya University
26578,163.0,167.0,4.0,3.96,National University of Modern Languages
26589,166.0,169.0,4.5,3.86,Bahauddin Zakariya University
26614,166.0,163.0,4.5,3.95,Bahauddin Zakariya University
26622,151.0,154.0,4.0,4.0,Aga Khan University
26632,149.0,160.0,3.5,3.9,Bahauddin Zakariya University
26654,164.0,168.0,4.5,3.87,Air University
26673,164.0,159.0,4.5,3.09,Bahria University
26683,164.0,159.0,4.5,3.09,Bahauddin Zakariya University
26688,167.0,152.0,5.5,3.6,"University of Engineering and Technology, Lahore"
26691,167.0,152.0,5.5,3.6,Bahria University
26697,157.0,157.0,4.0,3.8,Bahria University
26727,163.0,150.0,4.0,3.18,NED University of Engineering and Technology
26733,155.0,150.0,4.5,3.73,Aga Khan University
26748,167.0,157.0,4.5,3.53,Bahauddin Zakariya University
26785,161.0,156.0,5.0,3.47,"International Islamic University, Islamabad"
26830,162.0,170.0,0.0,3.7,National University of Sciences and Technology
26843,157.0,160.0,4.5,3.57,Lahore University of Management Sciences
26899,166.0,169.0,5.0,3.98,Bahauddin Zakariya University
26900,161.0,163.0,3.5,3.81,University of Central Punjab
26904,154.0,152.0,4.0,3.82,Aga Khan University
26905,156.0,148.0,4.5,3.93,Aga Khan University
26909,168.0,170.0,5.0,3.76,National University of Sciences and Technology
26913,158.0,163.0,5.0,3.4,National University of Computer and Emerging Sciences
26918,169.0,160.0,3.0,3.54,Aga Khan University
26928,157.0,151.0,4.5,3.81,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
26929,163.0,154.0,5.0,3.76,Aga Khan University
26932,162.0,160.0,4.5,3.65,University of Central Punjab
26937,162.0,153.0,5.0,3.59,National University of Sciences and Technology
26947,146.0,144.0,3.5,3.85,Bahria University
26956,146.0,144.0,3.5,3.85,Bahria University
26957,161.0,161.0,4.5,3.73,Aga Khan University
26978,163.0,153.0,5.0,3.89,Aga Khan University
26981,160.0,167.0,4.5,3.88,COMSATS University Islamabad
26997,153.0,148.0,4.0,3.85,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
26999,161.0,163.0,0.0,3.75,Air University
27011,157.0,157.0,4.0,3.8,COMSATS University Islamabad
27039,157.0,159.0,4.5,3.97,National University of Modern Languages
27041,156.0,157.0,4.0,3.8,COMSATS University Islamabad
27042,157.0,159.0,4.5,3.97,University of Central Punjab
27061,168.0,165.0,5.5,3.7,COMSATS University Islamabad
27085,157.0,154.0,4.0,3.88,National University of Sciences and Technology
27095,156.0,162.0,4.0,3.32,Aga Khan University
27101,166.0,169.0,5.0,3.64,Aga Khan University
27109,154.0,154.0,5.0,3.53,National University of Sciences and Technology
27113,159.0,164.0,5.0,3.71,COMSATS University Islamabad
27116,152.0,150.0,4.0,3.9,National University of Modern Languages
27135,157.0,150.0,4.5,3.73,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
27157,155.0,154.0,4.5,3.24,"University of Engineering and Technology, Lahore"
27176,160.0,157.0,5.5,3.8,Air University
27201,159.0,157.0,4.5,3.64,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
27233,169.0,162.0,4.5,3.93,National University of Sciences and Technology
27238,155.0,160.0,4.5,3.9,COMSATS University Islamabad
27251,160.0,165.0,5.0,3.6,Bahria University
27276,156.0,165.0,5.0,3.91,National University of Sciences and Technology
27283,159.0,167.0,4.0,3.89,COMSATS University Islamabad
27286,159.0,167.0,4.0,3.89,University of Central Punjab
27287,159.0,167.0,4.0,3.89,COMSATS University Islamabad
27321,159.0,170.0,4.5,3.68,University of the Punjab
27322,152.0,170.0,4.5,8.78,National University of Sciences and Technology
27332,158.0,162.0,4.5,3.93,Bahauddin Zakariya University
27350,159.0,168.0,4.0,3.9,Aga Khan University
27367,151.0,159.0,4.0,3.67,National University of Modern Languages
27395,151.0,157.0,5.0,3.19,Aga Khan University
27398,159.0,168.0,4.5,3.62,NED University of Engineering and Technology
27399,155.0,169.0,3.5,3.67,National University of Sciences and Technology
27404,151.0,164.0,3.0,3.52,NED University of Engineering and Technology
27416,154.0,151.0,4.5,3.8,National University of Modern Languages
27439,149.0,163.0,3.5,3.97,COMSATS University Islamabad
27444,161.0,168.0,3.5,3.94,Aga Khan University
27452,157.0,164.0,4.0,3.03,NED University of Engineering and Technology
27462,170.0,159.0,4.0,3.96,University of Central Punjab
27463,160.0,144.0,5.0,3.96,National University of Computer and Emerging Sciences
27481,161.0,153.0,5.5,3.76,"International Islamic University, Islamabad"
27492,158.0,159.0,5.0,3.89,Aga Khan University
27520,168.0,167.0,4.5,4.0,Aga Khan University
27525,150.0,157.0,4.0,3.8,Bahria University
27545,166.0,170.0,4.0,3.94,NED University of Engineering and Technology
27551,160.0,169.0,3.5,3.52,Bahria University
27560,165.0,170.0,3.5,3.9,Bahauddin Zakariya University
27566,158.0,154.0,4.5,4.0,NED University of Engineering and Technology
27577,157.0,155.0,4.0,3.7,National University of Sciences and Technology
27591,167.0,168.0,5.0,3.83,National University of Modern Languages
27592,160.0,169.0,4.0,3.75,Quaid-i-Azam University
27594,162.0,170.0,4.5,3.78,Bahauddin Zakariya University
27602,152.0,162.0,3.5,3.92,National University of Sciences and Technology
27603,170.0,160.0,5.0,3.99,Bahauddin Zakariya University
27604,153.0,156.0,4.0,3.66,Quaid-i-Azam University
27606,164.0,168.0,4.5,3.87,"International Islamic University, Islamabad"
27615,151.0,147.0,4.0,3.8,COMSATS University Islamabad
27628,152.0,170.0,3.5,3.56,National University of Sciences and Technology
27630,160.0,168.0,4.0,4.0,Bahauddin Zakariya University
27633,164.0,170.0,4.5,3.97,Bahauddin Zakariya University
27635,170.0,157.0,3.0,3.45,Bahria University
27646,164.0,167.0,3.5,3.64,Bahria University
27655,164.0,167.0,3.5,3.62,Quaid-i-Azam University
27670,160.0,170.0,4.0,3.68,National University of Computer and Emerging Sciences
27717,156.0,162.0,4.0,3.32,National University of Sciences and Technology
27727,165.0,164.0,5.5,3.74,National University of Modern Languages
27786,167.0,158.0,5.5,3.89,Aga Khan University
27791,153.0,170.0,6.0,3.74,Aga Khan University
27807,154.0,155.0,4.5,3.94,National University of Modern Languages
27808,169.0,162.0,4.5,3.93,Bahauddin Zakariya University
27809,150.0,155.0,4.0,8.83,Aga Khan University
27854,167.0,158.0,4.0,3.15,National University of Sciences and Technology
27881,167.0,164.0,4.5,3.88,University of the Punjab
27884,156.0,157.0,5.0,3.92,Bahauddin Zakariya University
27896,149.0,149.0,4.5,3.76,National University of Modern Languages
27927,156.0,155.0,0.0,3.96,Air University
27935,165.0,160.0,5.0,3.76,Air University
27936,168.0,160.0,5.0,3.82,National University of Sciences and Technology
27957,155.0,168.0,3.0,3.52,University of the Punjab
27964,167.0,164.0,5.0,3.2,Bahria University
27966,159.0,157.0,4.5,3.64,COMSATS University Islamabad
27971,158.0,157.0,4.0,3.2,Quaid-i-Azam University
27988,158.0,158.0,4.5,3.44,COMSATS University Islamabad
28021,162.0,170.0,4.5,3.88,Bahauddin Zakariya University
28035,165.0,160.0,5.0,3.76,National University of Modern Languages
28040,163.0,167.0,4.0,3.92,Bahauddin Zakariya University
28053,152.0,150.0,5.0,3.95,Quaid-i-Azam University
28106,159.0,169.0,4.5,4.0,NED University of Engineering and Technology
28119,155.0,160.0,4.5,3.95,Bahauddin Zakariya University
28128,170.0,160.0,5.0,3.8,Aga Khan University
28136,163.0,167.0,5.0,4.0,Bahauddin Zakariya University
28141,157.0,162.0,5.0,3.9,Bahauddin Zakariya University
28154,159.0,169.0,4.5,4.0,NED University of Engineering and Technology
28158,170.0,166.0,5.0,3.84,Bahauddin Zakariya University
28172,165.0,149.0,4.0,3.96,Quaid-i-Azam University
28174,166.0,169.0,5.5,3.8,NED University of Engineering and Technology
28179,161.0,170.0,4.5,3.86,National University of Sciences and Technology
28193,164.0,161.0,5.5,3.3,Bahauddin Zakariya University
28198,155.0,160.0,4.5,4.0,Aga Khan University
28216,166.0,156.0,5.5,3.67,Bahauddin Zakariya University
28245,153.0,155.0,5.0,3.97,Bahauddin Zakariya University
28256,158.0,166.0,4.0,3.47,Air University
28265,170.0,159.0,5.5,4.0,University of Central Punjab
28266,166.0,154.0,4.0,3.47,National University of Computer and Emerging Sciences
28274,164.0,166.0,4.5,3.79,National University of Computer and Emerging Sciences
28275,164.0,170.0,4.5,4.0,Aga Khan University
28296,167.0,162.0,6.0,3.79,"International Islamic University, Islamabad"
28318,162.0,161.0,4.0,3.63,NED University of Engineering and Technology
28327,157.0,160.0,4.0,3.55,Aga Khan University
28339,156.0,160.0,5.0,3.3,Aga Khan University
28346,161.0,168.0,4.0,3.66,Aga Khan University
28350,154.0,163.0,3.0,3.9,Bahauddin Zakariya University
28356,169.0,169.0,5.5,3.98,COMSATS University Islamabad
28360,160.0,170.0,3.5,3.88,Bahauddin Zakariya University
28374,168.0,170.0,5.5,3.7,NED University of Engineering and Technology
28402,160.0,159.0,3.5,3.7,"International Islamic University, Islamabad"
28417,152.0,161.0,3.5,3.74,Aga Khan University
28469,169.0,153.0,3.5,3.31,COMSATS University Islamabad
28475,160.0,151.0,4.0,3.72,Quaid-i-Azam University
28502,144.0,166.0,3.5,8.05,NED University of Engineering and Technology
28508,157.0,164.0,4.0,3.4,University of Central Punjab
28517,168.0,162.0,4.5,3.75,Bahria University
28521,158.0,167.0,5.0,3.71,Quaid-i-Azam University
28538,155.0,167.0,4.5,3.5,National University of Modern Languages
28540,160.0,169.0,3.5,3.52,Quaid-i-Azam University
28550,147.0,170.0,4.0,3.35,Aga Khan University
28552,147.0,170.0,4.0,3.35,"International Islamic University, Islamabad"
28553,147.0,170.0,4.0,3.35,National University of Modern Languages
28566,156.0,164.0,4.5,3.72,NED University of Engineering and Technology
28573,158.0,170.0,3.5,3.8,Bahauddin Zakariya University
28581,170.0,162.0,5.5,3.78,"University of Engineering and Technology, Lahore"
28584,170.0,162.0,5.5,3.78,Air University
28601,158.0,159.0,4.5,3.83,Aga Khan University
28619,156.0,167.0,5.0,4.0,Quaid-i-Azam University
28629,170.0,167.0,5.5,4.0,University of Central Punjab
28633,161.0,160.0,4.5,3.6,National University of Modern Languages
28655,162.0,170.0,4.5,3.78,Institute of Business Administration
28662,160.0,157.0,4.0,3.0,"University of Engineering and Technology, Lahore"
28665,148.0,150.0,4.0,3.9,National University of Modern Languages
28673,151.0,170.0,4.5,3.7,Institute of Business Administration
28694,154.0,170.0,4.0,3.7,Bahauddin Zakariya University
28697,162.0,170.0,4.0,3.69,National University of Computer and Emerging Sciences
28707,148.0,140.0,4.0,3.45,University of the Punjab
28716,161.0,169.0,4.0,3.84,Quaid-i-Azam University
28718,161.0,165.0,3.0,3.86,COMSATS University Islamabad
28728,166.0,166.0,5.0,4.0,National University of Modern Languages
28733,150.0,153.0,5.0,3.93,National University of Computer and Emerging Sciences
28763,164.0,167.0,4.5,3.9,Quaid-i-Azam University
28770,152.0,156.0,3.5,3.7,Lahore University of Management Sciences
28781,168.0,170.0,5.5,3.33,Bahauddin Zakariya University
28785,163.0,153.0,4.0,3.8,National University of Modern Languages
28789,150.0,156.0,4.0,2.99,"University of Engineering and Technology, Lahore"
28803,157.0,149.0,4.0,3.82,Air University
28836,157.0,156.0,4.0,3.25,National University of Modern Languages
28866,170.0,160.0,5.0,3.8,Bahauddin Zakariya University
28904,160.0,160.0,4.0,3.92,Quaid-i-Azam University
28920,167.0,170.0,5.0,3.98,Bahauddin Zakariya University
28924,160.0,160.0,5.0,3.81,Air University
28953,164.0,160.0,4.5,3.6,"University of Engineering and Technology, Lahore"
28966,169.0,168.0,5.5,3.9,Aga Khan University
28969,155.0,158.0,5.0,3.9,University of the Punjab
28973,159.0,157.0,5.5,3.87,Quaid-i-Azam University
28989,170.0,170.0,6.0,4.0,COMSATS University Islamabad
28990,166.0,170.0,6.0,4.0,COMSATS University Islamabad
28994,164.0,169.0,4.5,3.9,Bahauddin Zakariya University
29007,170.0,162.0,3.5,3.88,National University of Computer and Emerging Sciences
29013,158.0,149.0,4.0,3.74,National University of Modern Languages
29016,157.0,170.0,4.0,4.0,COMSATS University Islamabad
29064,170.0,163.0,6.0,3.3,COMSATS University Islamabad
29076,152.0,165.0,4.0,3.86,University of Central Punjab
29090,164.0,161.0,6.0,3.98,National University of Computer and Emerging Sciences
29118,168.0,170.0,5.5,3.7,Bahauddin Zakariya University
29121,158.0,163.0,0.0,3.4,National University of Computer and Emerging Sciences
29166,143.0,170.0,4.0,3.6,NED University of Engineering and Technology
29204,163.0,170.0,5.0,4.0,National University of Computer and Emerging Sciences
29239,157.0,166.0,4.0,3.68,Aga Khan University
29247,166.0,152.0,6.0,4.0,University of the Punjab
29285,167.0,162.0,5.0,3.81,Air University
29310,165.0,160.0,6.0,3.86,National University of Computer and Emerging Sciences
29319,159.0,159.0,5.0,3.71,National University of Modern Languages
29320,163.0,167.0,3.5,3.4,NED University of Engineering and Technology
29329,154.0,164.0,3.5,3.67,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
29363,148.0,165.0,3.0,3.6,University of Central Punjab
29368,160.0,160.0,3.5,3.4,Bahria University
29370,154.0,160.0,3.5,3.1,Bahauddin Zakariya University
29379,153.0,170.0,4.0,3.69,COMSATS University Islamabad
29382,164.0,161.0,3.5,3.7,University of Central Punjab
29394,169.0,162.0,4.0,2.79,University of Central Punjab
29395,152.0,170.0,3.0,3.69,National University of Modern Languages
29398,147.0,167.0,3.0,3.3,NED University of Engineering and Technology
29401,164.0,170.0,4.5,3.97,Bahria University
29407,159.0,169.0,3.0,3.84,Air University
29426,168.0,167.0,5.5,4.0,Air University
29430,161.0,167.0,4.5,3.91,COMSATS University Islamabad
29438,162.0,170.0,4.5,3.98,COMSATS University Islamabad
29439,166.0,153.0,5.0,3.6,Air University
29443,160.0,146.0,5.0,3.96,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
29450,159.0,156.0,3.5,3.45,"International Islamic University, Islamabad"
29460,162.0,167.0,5.5,3.93,NED University of Engineering and Technology
29461,162.0,167.0,5.5,3.93,NED University of Engineering and Technology
29462,162.0,167.0,5.5,3.93,Bahauddin Zakariya University
29465,157.0,153.0,4.5,3.4,National University of Computer and Emerging Sciences
29470,164.0,169.0,4.0,3.93,Aga Khan University
29477,152.0,148.0,4.0,3.68,Bahria University
29495,158.0,170.0,4.0,3.8,Aga Khan University
29517,157.0,158.0,0.0,3.85,COMSATS University Islamabad
29556,169.0,162.0,4.5,3.57,University of Central Punjab
29566,160.0,168.0,5.0,3.95,"International Islamic University, Islamabad"
29571,158.0,168.0,0.0,3.7,Aga Khan University
29573,159.0,168.0,3.0,3.5,Aga Khan University
29576,158.0,170.0,4.0,9.6,National University of Modern Languages
29577,159.0,169.0,4.5,4.0,Aga Khan University
29587,161.0,170.0,4.5,3.86,Aga Khan University
29589,166.0,168.0,4.5,3.8,Aga Khan University
29590,168.0,168.0,5.5,4.0,Aga Khan University
29593,157.0,156.0,4.0,3.6,National University of Sciences and Technology
29606,164.0,162.0,4.0,4.0,Bahria University
29609,164.0,147.0,4.5,3.76,National University of Sciences and Technology
29610,159.0,165.0,4.5,4.0,National University of Modern Languages
29614,164.0,161.0,5.5,3.49,"International Islamic University, Islamabad"
29615,168.0,162.0,5.0,3.7,Air University
29622,162.0,164.0,5.0,3.87,Quaid-i-Azam University
29625,162.0,164.0,5.0,3.87,Bahauddin Zakariya University
29626,162.0,164.0,5.0,3.87,National University of Computer and Emerging Sciences
29629,164.0,168.0,4.5,3.84,Air University
29634,159.0,164.0,4.0,3.45,University of Central Punjab
29654,166.0,169.0,5.0,3.8,National University of Modern Languages
29661,157.0,168.0,3.5,3.93,"University of Engineering and Technology, Lahore"
29680,160.0,165.0,5.0,3.4,University of the Punjab
29681,157.0,155.0,0.0,3.98,"International Islamic University, Islamabad"
29682,164.0,169.0,4.0,3.93,National University of Modern Languages
29708,158.0,150.0,4.0,4.0,Bahria University
29733,160.0,165.0,4.0,3.42,"University of Engineering and Technology, Lahore"
29748,144.0,156.0,3.0,3.19,NED University of Engineering and Technology
29771,159.0,169.0,4.0,3.62,National University of Modern Languages
29773,165.0,167.0,5.0,3.85,Aga Khan University
29775,159.0,169.0,4.0,3.62,University of Central Punjab
29783,155.0,159.0,4.0,3.77,Air University
29791,159.0,165.0,4.0,3.11,Bahauddin Zakariya University
29807,163.0,167.0,5.0,3.71,Aga Khan University
29817,159.0,166.0,4.5,3.75,Air University
29826,163.0,148.0,4.5,3.55,National University of Sciences and Technology
29847,160.0,151.0,4.0,3.48,Quaid-i-Azam University
29872,170.0,161.0,5.5,3.83,National University of Sciences and Technology
29875,164.0,158.0,4.5,3.7,National University of Modern Languages
29894,156.0,170.0,4.0,3.65,Air University
29896,159.0,161.0,3.5,2.7,Bahauddin Zakariya University
29920,151.0,161.0,4.0,3.4,National University of Modern Languages
29921,156.0,155.0,0.0,3.96,Aga Khan University
29934,148.0,169.0,3.0,3.5,Aga Khan University
29956,154.0,169.0,4.0,9.3,Aga Khan University
30022,155.0,146.0,4.0,3.43,COMSATS University Islamabad
30030,168.0,170.0,5.0,3.68,University of Central Punjab
30032,157.0,141.0,5.0,3.31,National University of Sciences and Technology
30046,159.0,155.0,3.0,4.0,National University of Sciences and Technology
30056,160.0,156.0,5.0,3.72,"University of Engineering and Technology, Lahore"
30061,143.0,168.0,3.5,3.75,Aga Khan University
30082,162.0,155.0,4.0,4.0,Aga Khan University
30091,163.0,170.0,5.0,3.98,COMSATS University Islamabad
30097,164.0,162.0,6.0,3.7,National University of Computer and Emerging Sciences
30114,150.0,170.0,3.5,3.85,"International Islamic University, Islamabad"
30116,160.0,165.0,4.0,3.75,Bahria University
30122,157.0,165.0,4.0,3.67,Bahria University
30152,157.0,161.0,5.5,3.82,Bahauddin Zakariya University
30159,158.0,156.0,4.5,3.54,National University of Computer and Emerging Sciences
30164,154.0,163.0,4.0,3.89,COMSATS University Islamabad
30167,160.0,160.0,4.5,3.68,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
30171,165.0,160.0,5.0,3.76,Aga Khan University
30175,160.0,154.0,4.0,3.2,COMSATS University Islamabad
30238,160.0,166.0,4.5,3.92,COMSATS University Islamabad
30240,160.0,166.0,4.5,3.92,COMSATS University Islamabad
30262,164.0,163.0,4.5,3.69,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
30271,159.0,168.0,4.5,3.6,University of the Punjab
30289,170.0,163.0,5.5,3.0,University of Central Punjab
30299,167.0,167.0,4.5,4.0,Bahauddin Zakariya University
30309,155.0,155.0,4.0,3.73,National University of Sciences and Technology
30326,164.0,166.0,5.0,3.6,Bahauddin Zakariya University
30328,161.0,159.0,4.5,3.72,Air University
30345,159.0,170.0,5.0,3.97,Institute of Business Administration
30361,154.0,169.0,4.0,3.7,Air University
30376,168.0,170.0,5.5,3.8,National University of Modern Languages
30401,152.0,154.0,4.0,3.69,Air University
30407,160.0,160.0,4.0,3.4,COMSATS University Islamabad
30419,159.0,170.0,4.5,3.95,COMSATS University Islamabad
30425,157.0,170.0,3.5,3.73,Aga Khan University
30465,159.0,152.0,5.5,3.9,NED University of Engineering and Technology
30476,170.0,170.0,6.0,4.0,COMSATS University Islamabad
30516,168.0,161.0,5.5,3.75,COMSATS University Islamabad
30546,154.0,153.0,4.5,3.44,Aga Khan University
30549,170.0,167.0,5.5,4.0,National University of Sciences and Technology
30551,158.0,170.0,4.0,3.87,COMSATS University Islamabad
30554,169.0,166.0,4.5,4.1,COMSATS University Islamabad
30556,155.0,170.0,4.5,4.0,Bahria University
30566,160.0,164.0,6.0,3.75,Bahauddin Zakariya University
30568,162.0,161.0,5.0,3.9,Air University
30588,168.0,160.0,0.0,3.9,National University of Sciences and Technology
30652,159.0,155.0,5.5,3.5,Bahauddin Zakariya University
30663,170.0,168.0,0.0,3.86,COMSATS University Islamabad
30669,158.0,160.0,4.0,3.6,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
30703,156.0,163.0,5.0,3.78,Institute of Business Administration
30715,156.0,161.0,0.0,3.85,"International Islamic University, Islamabad"
30729,155.0,168.0,3.5,3.5,Air University
30796,170.0,165.0,6.0,4.0,Bahauddin Zakariya University
30797,157.0,152.0,4.0,3.8,Aga Khan University
30805,157.0,158.0,3.0,3.7,Aga Khan University
30823,163.0,160.0,5.0,3.75,Air University
30825,144.0,167.0,0.0,3.42,National University of Modern Languages
30836,152.0,153.0,4.5,3.5,National University of Computer and Emerging Sciences
30887,156.0,154.0,4.0,3.93,Bahria University
30896,165.0,170.0,4.0,3.81,National University of Modern Languages
30914,155.0,169.0,3.5,3.77,"University of Engineering and Technology, Lahore"
30918,158.0,161.0,5.0,3.9,National University of Computer and Emerging Sciences
30919,148.0,165.0,3.5,3.76,"University of Engineering and Technology, Lahore"
30937,162.0,162.0,4.5,2.9,COMSATS University Islamabad
30961,154.0,151.0,4.5,3.8,Aga Khan University
30964,162.0,168.0,4.0,3.55,Aga Khan University
30966,160.0,154.0,4.0,3.2,Aga Khan University
30970,165.0,160.0,5.0,3.84,National University of Computer and Emerging Sciences
30985,155.0,167.0,3.5,3.5,"International Islamic University, Islamabad"
30992,163.0,162.0,5.0,3.75,National University of Computer and Emerging Sciences
30998,168.0,165.0,5.0,3.72,Aga Khan University
31022,162.0,170.0,4.0,3.98,National University of Sciences and Technology
31026,162.0,170.0,4.0,3.98,"University of Engineering and Technology, Lahore"
31028,147.0,170.0,3.0,3.7,NED University of Engineering and Technology
31039,163.0,166.0,4.0,3.79,University of Central Punjab
31040,166.0,160.0,5.0,3.8,Aga Khan University
31071,163.0,157.0,4.0,3.58,Aga Khan University
31073,155.0,165.0,4.0,3.7,University of Central Punjab
31080,166.0,170.0,4.5,3.8,National University of Modern Languages
31089,152.0,169.0,3.5,3.45,COMSATS University Islamabad
31090,152.0,170.0,3.5,3.4,National University of Sciences and Technology
31110,167.0,167.0,4.5,3.88,Aga Khan University
31119,159.0,170.0,3.5,4.0,"University of Engineering and Technology, Lahore"
31125,158.0,170.0,3.5,3.7,Aga Khan University
31127,170.0,170.0,5.0,3.8,Aga Khan University
31141,154.0,162.0,3.0,3.52,University of Central Punjab
31143,149.0,163.0,3.5,3.97,Bahria University
31147,161.0,170.0,4.0,3.82,Air University
31148,154.0,167.0,3.5,3.9,NED University of Engineering and Technology
31149,168.0,148.0,3.0,3.7,Aga Khan University
31165,158.0,150.0,4.5,3.75,University of Central Punjab
31182,150.0,170.0,4.0,3.6,Quaid-i-Azam University
31195,167.0,166.0,6.0,3.81,Bahria University
31216,155.0,153.0,4.5,3.55,National University of Sciences and Technology
31222,160.0,165.0,3.5,3.87,National University of Sciences and Technology
31241,157.0,170.0,4.0,3.84,Air University
31251,152.0,170.0,4.5,3.8,Aga Khan University
31274,164.0,166.0,5.0,3.6,Air University
31286,158.0,160.0,4.5,3.99,National University of Computer and Emerging Sciences
31316,163.0,157.0,4.5,3.54,University of the Punjab
31322,159.0,160.0,4.5,4.0,Quaid-i-Azam University
31348,156.0,159.0,3.5,3.44,National University of Modern Languages
